audio,label
KsponSpeech_01/KsponSpeech_0003/KsponSpeech_002716.pcm,KsponSpeech_01/KsponSpeech_0003/KsponSpeech_label_002716.txt
KsponSpeech_01/KsponSpeech_0002/KsponSpeech_001978.pcm,KsponSpeech_01/KsponSpeech_0002/KsponSpeech_label_001978.txt
KsponSpeech_01/KsponSpeech_0002/KsponSpeech_001699.pcm,KsponSpeech_01/KsponSpeech_0002/KsponSpeech_label_001699.txt
KsponSpeech_01/KsponSpeech_0001/KsponSpeech_000162.pcm,KsponSpeech_01/KsponSpeech_0001/KsponSpeech_label_000162.txt
KsponSpeech_01/KsponSpeech_0002/KsponSpeech_001100.pcm,KsponSpeech_01/KsponSpeech_0002/KsponSpeech_label_001100.txt
KsponSpeech_01/KsponSpeech_0001/KsponSpeech_000780.pcm,KsponSpeech_01/KsponSpeech_0001/KsponSpeech_label_000780.txt
KsponSpeech_01/KsponSpeech_0001/KsponSpeech_000651.pcm,KsponSpeech_01/KsponSpeech_0001/KsponSpeech_label_000651.txt
KsponSpeech_01/KsponSpeech_0003/KsponSpeech_002516.pcm,KsponSpeech_01/KsponSpeech_0003/KsponSpeech_label_002516.txt
KsponSpeech_01/KsponSpeech_0001/KsponSpeech_000294.pcm,KsponSpeech_01/KsponSpeech_0001/KsponSpeech_label_000294.txt
KsponSpeech_01/KsponSpeech_0003/KsponSpeech_002378.pcm,KsponSpeech_01/KsponSpeech_0003/KsponSpeech_label_002378.txt
KsponSpeech_01/KsponSpeech_0004/KsponSpeech_003335.pcm,KsponSpeech_01/KsponSpeech_0004/KsponSpeech_label_003335.txt
KsponSpeech_01/KsponSpeech_0002/KsponSpeech_001312.pcm,KsponSpeech_01/KsponSpeech_0002/KsponSpeech_label_001312.txt
KsponSpeech_01/KsponSpeech_0001/KsponSpeech_000087.pcm,KsponSpeech_01/KsponSpeech_0001/KsponSpeech_label_000087.txt
KsponSpeech_01/KsponSpeech_0001/KsponSpeech_000052.pcm,KsponSpeech_01/KsponSpeech_0001/KsponSpeech_label_000052.txt
KsponSpeech_01/KsponSpeech_0003/KsponSpeech_002730.pcm,KsponSpeech_01/KsponSpeech_0003/KsponSpeech_label_002730.txt
KsponSpeech_01/KsponSpeech_0004/KsponSpeech_003340.pcm,KsponSpeech_01/KsponSpeech_0004/KsponSpeech_label_003340.txt
KsponSpeech_01/KsponSpeech_0003/KsponSpeech_002725.pcm,KsponSpeech_01/KsponSpeech_0003/KsponSpeech_label_002725.txt
KsponSpeech_01/KsponSpeech_0004/KsponSpeech_003673.pcm,KsponSpeech_01/KsponSpeech_0004/KsponSpeech_label_003673.txt
KsponSpeech_01/KsponSpeech_0002/KsponSpeech_001314.pcm,KsponSpeech_01/KsponSpeech_0002/KsponSpeech_label_001314.txt
KsponSpeech_01/KsponSpeech_0004/KsponSpeech_003608.pcm,KsponSpeech_01/KsponSpeech_0004/KsponSpeech_label_003608.txt
KsponSpeech_01/KsponSpeech_0001/KsponSpeech_000202.pcm,KsponSpeech_01/KsponSpeech_0001/KsponSpeech_label_000202.txt
KsponSpeech_01/KsponSpeech_0001/KsponSpeech_000775.pcm,KsponSpeech_01/KsponSpeech_0001/KsponSpeech_label_000775.txt
KsponSpeech_01/KsponSpeech_0001/KsponSpeech_000534.pcm,KsponSpeech_01/KsponSpeech_0001/KsponSpeech_label_000534.txt
KsponSpeech_01/KsponSpeech_0002/KsponSpeech_001899.pcm,KsponSpeech_01/KsponSpeech_0002/KsponSpeech_label_001899.txt
KsponSpeech_01/KsponSpeech_0001/KsponSpeech_000741.pcm,KsponSpeech_01/KsponSpeech_0001/KsponSpeech_label_000741.txt
KsponSpeech_01/KsponSpeech_0001/KsponSpeech_000282.pcm,KsponSpeech_01/KsponSpeech_0001/KsponSpeech_label_000282.txt
KsponSpeech_01/KsponSpeech_0004/KsponSpeech_003816.pcm,KsponSpeech_01/KsponSpeech_0004/KsponSpeech_label_003816.txt
KsponSpeech_01/KsponSpeech_0004/KsponSpeech_003359.pcm,KsponSpeech_01/KsponSpeech_0004/KsponSpeech_label_003359.txt
KsponSpeech_01/KsponSpeech_0003/KsponSpeech_002070.pcm,KsponSpeech_01/KsponSpeech_0003/KsponSpeech_label_002070.txt
KsponSpeech_01/KsponSpeech_0002/KsponSpeech_001052.pcm,KsponSpeech_01/KsponSpeech_0002/KsponSpeech_label_001052.txt
KsponSpeech_01/KsponSpeech_0002/KsponSpeech_001764.pcm,KsponSpeech_01/KsponSpeech_0002/KsponSpeech_label_001764.txt
KsponSpeech_01/KsponSpeech_0004/KsponSpeech_003073.pcm,KsponSpeech_01/KsponSpeech_0004/KsponSpeech_label_003073.txt
KsponSpeech_01/KsponSpeech_0003/KsponSpeech_002698.pcm,KsponSpeech_01/KsponSpeech_0003/KsponSpeech_label_002698.txt
KsponSpeech_01/KsponSpeech_0004/KsponSpeech_003716.pcm,KsponSpeech_01/KsponSpeech_0004/KsponSpeech_label_003716.txt
KsponSpeech_01/KsponSpeech_0001/KsponSpeech_000318.pcm,KsponSpeech_01/KsponSpeech_0001/KsponSpeech_label_000318.txt
KsponSpeech_01/KsponSpeech_0003/KsponSpeech_002250.pcm,KsponSpeech_01/KsponSpeech_0003/KsponSpeech_label_002250.txt
KsponSpeech_01/KsponSpeech_0001/KsponSpeech_000864.pcm,KsponSpeech_01/KsponSpeech_0001/KsponSpeech_label_000864.txt
KsponSpeech_01/KsponSpeech_0004/KsponSpeech_003016.pcm,KsponSpeech_01/KsponSpeech_0004/KsponSpeech_label_003016.txt
KsponSpeech_01/KsponSpeech_0001/KsponSpeech_000568.pcm,KsponSpeech_01/KsponSpeech_0001/KsponSpeech_label_000568.txt
KsponSpeech_01/KsponSpeech_0004/KsponSpeech_003080.pcm,KsponSpeech_01/KsponSpeech_0004/KsponSpeech_label_003080.txt
KsponSpeech_01/KsponSpeech_0001/KsponSpeech_000387.pcm,KsponSpeech_01/KsponSpeech_0001/KsponSpeech_label_000387.txt
KsponSpeech_01/KsponSpeech_0004/KsponSpeech_003324.pcm,KsponSpeech_01/KsponSpeech_0004/KsponSpeech_label_003324.txt
KsponSpeech_01/KsponSpeech_0004/KsponSpeech_003643.pcm,KsponSpeech_01/KsponSpeech_0004/KsponSpeech_label_003643.txt
KsponSpeech_01/KsponSpeech_0003/KsponSpeech_002697.pcm,KsponSpeech_01/KsponSpeech_0003/KsponSpeech_label_002697.txt
KsponSpeech_01/KsponSpeech_0002/KsponSpeech_001958.pcm,KsponSpeech_01/KsponSpeech_0002/KsponSpeech_label_001958.txt
KsponSpeech_01/KsponSpeech_0002/KsponSpeech_001790.pcm,KsponSpeech_01/KsponSpeech_0002/KsponSpeech_label_001790.txt
